# y+ ()      
# Time       	patch        	min          	max          	average      
0            	walls	5.988770e-02	5.332092e-01	4.384474e-01
0.05         	walls	4.561623e-01	5.310989e+00	3.369545e+00
0.1          	walls	4.561583e-01	4.560487e+00	3.111490e+00
0.15         	walls	4.561583e-01	4.560487e+00	3.111314e+00
0.2          	walls	4.561583e-01	4.560487e+00	3.111314e+00
0.25         	walls	4.561583e-01	4.560487e+00	3.111314e+00
0.3          	walls	4.561583e-01	4.560487e+00	3.111314e+00
0.35         	walls	4.561583e-01	4.560487e+00	3.111314e+00
0.4          	walls	4.561583e-01	4.560487e+00	3.111314e+00
0.45         	walls	4.561583e-01	4.560487e+00	3.111314e+00
0.5          	walls	4.561583e-01	4.560487e+00	3.111314e+00
